# packages in environment at /home/data/t200404/software/anaconda3/envs/python3810_gpu:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                        main    defaults
_openmp_mutex             4.5                       1_gnu    defaults
absl-py                   0.14.1                   pypi_0    pypi
accelerate                0.29.3                   pypi_0    pypi
aiohttp                   3.9.5                    pypi_0    pypi
aiosignal                 1.3.1                    pypi_0    pypi
anndata                   0.9.2                    pypi_0    pypi
anyio                     3.3.2                    pypi_0    pypi
argon2-cffi               21.1.0                   pypi_0    pypi
astunparse                1.6.3                    pypi_0    pypi
async-timeout             4.0.3                    pypi_0    pypi
attrs                     21.2.0                   pypi_0    pypi
babel                     2.9.1                    pypi_0    pypi
backcall                  0.2.0                    pypi_0    pypi
bertviz                   1.4.0                    pypi_0    pypi
blas                      1.0                         mkl    defaults
bleach                    4.1.0                    pypi_0    pypi
boltons                   23.0.0           py38h06a4308_0    defaults
boto3                     1.34.102                 pypi_0    pypi
botocore                  1.34.102                 pypi_0    pypi
brotlipy                  0.7.0           py38h27cfd23_1003    defaults
ca-certificates           2019.11.28           hecc5488_0    conda-forge/label/cf202003
cachetools                4.2.4                    pypi_0    pypi
certifi                   2019.11.28       py38h32f6830_1    conda-forge/label/cf202003
cffi                      1.14.6           py38h400218f_0    defaults
chardet                   4.0.0           py38h06a4308_1003    defaults
conda-package-handling    1.7.3            py38h27cfd23_1    defaults
cryptography              3.4.7            py38hd23ed53_0    defaults
cudatoolkit               11.2.0               h73cb219_8    conda-forge
cudnn                     8.1.0.77             h90431f1_0    conda-forge
cycler                    0.10.0                   pypi_0    pypi
datasets                  2.0.0                    pypi_0    pypi
debugpy                   1.5.0                    pypi_0    pypi
decorator                 5.1.0                    pypi_0    pypi
defusedxml                0.7.1                    pypi_0    pypi
dill                      0.3.8                    pypi_0    pypi
einops                    0.7.0                    pypi_0    pypi
entrypoints               0.3                      pypi_0    pypi
filelock                  3.12.4                   pypi_0    pypi
flatbuffers               1.12                     pypi_0    pypi
frozenlist                1.4.1                    pypi_0    pypi
fsspec                    2023.9.2                 pypi_0    pypi
future                    0.18.3           py38h06a4308_0    defaults
gast                      0.4.0                    pypi_0    pypi
get-annotations           0.1.2                    pypi_0    pypi
google-auth               1.35.0                   pypi_0    pypi
google-auth-oauthlib      0.4.6                    pypi_0    pypi
google-pasta              0.2.0                    pypi_0    pypi
grpcio                    1.34.1                   pypi_0    pypi
h5py                      3.1.0                    pypi_0    pypi
huggingface-hub           0.16.4                   pypi_0    pypi
icu                       64.2                 he1b5a44_1    conda-forge/label/cf202003
idna                      2.10               pyhd3eb1b0_0    defaults
importlib-metadata        6.8.0                    pypi_0    pypi
intel-openmp              2021.4.0          h06a4308_3561    defaults
ipykernel                 6.4.1                    pypi_0    pypi
ipython                   7.28.0                   pypi_0    pypi
ipython-genutils          0.2.0                    pypi_0    pypi
ipywidgets                7.6.5                    pypi_0    pypi
jedi                      0.18.0                   pypi_0    pypi
jinja2                    3.0.2                    pypi_0    pypi
jmespath                  1.0.1                    pypi_0    pypi
joblib                    1.3.2                    pypi_0    pypi
json5                     0.9.6                    pypi_0    pypi
jsonpatch                 1.32               pyhd3eb1b0_0    defaults
jsonpointer               2.1                pyhd3eb1b0_0    defaults
jsonschema                4.0.1                    pypi_0    pypi
jupyter-client            7.0.6                    pypi_0    pypi
jupyter-core              4.8.1                    pypi_0    pypi
jupyter-server            1.11.1                   pypi_0    pypi
jupyterlab                3.1.18                   pypi_0    pypi
jupyterlab-language-pack-zh-cn 3.1.post2                pypi_0    pypi
jupyterlab-pygments       0.1.2                    pypi_0    pypi
jupyterlab-server         2.8.2                    pypi_0    pypi
jupyterlab-widgets        1.0.2                    pypi_0    pypi
keras-nightly             2.5.0.dev2021032900          pypi_0    pypi
keras-preprocessing       1.1.2                    pypi_0    pypi
kiwisolver                1.3.2                    pypi_0    pypi
ld_impl_linux-64          2.35.1               h7274673_9    defaults
libblas                   3.8.0           7_h6e990d7_netlib    conda-forge/label/cf202003
libcblas                  3.8.0           7_h6e990d7_netlib    conda-forge/label/cf202003
libffi                    3.3                  he6710b0_2    defaults
libgcc-ng                 9.3.0               h5101ec6_17    defaults
libgfortran-ng            7.3.0                hdf63c60_5    conda-forge/label/cf202003
libgomp                   9.3.0               h5101ec6_17    defaults
liblapack                 3.8.0           7_h6e990d7_netlib    conda-forge/label/cf202003
libstdcxx-ng              9.3.0               hd4cf53a_17    defaults
libuv                     1.34.0               h516909a_0    conda-forge/label/cf202003
llvmlite                  0.38.1                   pypi_0    pypi
local-attention           1.9.0                    pypi_0    pypi
markdown                  3.3.4                    pypi_0    pypi
markupsafe                2.0.1                    pypi_0    pypi
matplotlib                3.4.3                    pypi_0    pypi
matplotlib-inline         0.1.3                    pypi_0    pypi
mistune                   0.8.4                    pypi_0    pypi
mkl                       2021.4.0           h06a4308_640    defaults
mkl-service               2.4.0            py38h7f8727e_0    defaults
mkl_fft                   1.3.1            py38hd3c417c_0    defaults
mkl_random                1.2.2            py38h51133e4_0    defaults
mpmath                    1.3.0                    pypi_0    pypi
multidict                 6.0.5                    pypi_0    pypi
multiprocess              0.70.16                  pypi_0    pypi
natsort                   8.4.0                    pypi_0    pypi
nbclassic                 0.3.2                    pypi_0    pypi
nbclient                  0.5.4                    pypi_0    pypi
nbconvert                 6.2.0                    pypi_0    pypi
nbformat                  5.1.3                    pypi_0    pypi
ncurses                   6.2                  he6710b0_1    defaults
nest-asyncio              1.5.1                    pypi_0    pypi
networkx                  3.1                      pypi_0    pypi
ninja                     1.10.2               h06a4308_5    defaults
ninja-base                1.10.2               hd09550d_5    defaults
nodejs                    13.10.1              hf5d1a2b_0    conda-forge/label/cf202003
notebook                  6.4.4                    pypi_0    pypi
numba                     0.55.0                   pypi_0    pypi
numpy                     1.19.2                   pypi_0    pypi
nvidia-cublas-cu12        12.1.3.1                 pypi_0    pypi
nvidia-cuda-cupti-cu12    12.1.105                 pypi_0    pypi
nvidia-cuda-nvrtc-cu12    12.1.105                 pypi_0    pypi
nvidia-cuda-runtime-cu12  12.1.105                 pypi_0    pypi
nvidia-cudnn-cu12         8.9.2.26                 pypi_0    pypi
nvidia-cufft-cu12         11.0.2.54                pypi_0    pypi
