PMC6613603	R02006	98	136	FA 7:0;3(2:0;2Me);6oxo
PMC5179000	D00003	83	114	FA 16:0;3OH
PMC5179000	A02002	83	114	FA 16:0;3OH
PMC5179000	D00020	87	118	FA 16:0;3OH
PMC5179000	R02002	154	184	FA 16:0;3OH
PMC5838832	D00004	1	27	FA 24:1(15)
PMC3040193	R05020	140	170	FA 22:2(13,16)
PMC6457987	D01014	117	125	FA 22:6;OH
PMC6636917	R03008	57	65	FA 22:6;OH
PMC6457987	D01015	139	147	FA 22:6;OH
PMC6457987	D02027	90	98	FA 22:6;OH
PMC6636917	R03014	80	88	FA 22:6;OH
PMC6457987	D02030	77	85	FA 22:6;OH
PMC5156423	R01011	35	43	FA 22:6;OH
PMC6636917	R03013	137	145	FA 22:6;OH
PMC6875220	R00037	247	279	FA 14:0;10Me,13Me
PMC5788669	R13004	16	34	FA 20:1(11)
PMC6457987	D02030	67	75	FA 22:6;OH
PMC5009176	R07016	51	58	FA 20:4;OH
PMC5009176	D00036	142	149	FA 20:4;OH
PMC5009176	A00005	87	94	FA 20:4;OH
PMC3741366	M10007	1647	1654	FA 20:4;OH
PMC5928440	D00010	134	141	FA 20:4;OH
PMC5009176	R10005	51	58	FA 20:4;OH
PMC5928440	D00015	167	174	FA 20:4;OH
PMC3741366	M06024	1647	1654	FA 20:4;OH
PMC6314687	R03011	38	45	FA 20:4;OH
PMC3741366	R03002	157	164	FA 20:4;OH
PMC5928440	R01005	111	118	FA 20:4;OH
PMC3741366	R01001	284	291	FA 20:4;OH
PMC5928440	R02003	104	111	FA 20:4;OH
PMC6314687	M00006	94	134	FA 18:0;12Ep;11OH
PMC6314687	M00006	151	190	FA 18:0;9Ep;11OH
PMC6314687	M00006	302	338	FA 18:0;12Ep;11oxo
PMC6314687	M00006	355	390	FA 18:0;9Ep;11oxo
PMC3426673	R06008	103	116	FA 20:3;(OH)2
PMC3426673	R06018	66	79	FA 20:3;(OH)2
PMC3590212	R01014	95	108	FA 20:3;(OH)2
PMC3590212	D00037	225	238	FA 20:3;(OH)2
PMC3590212	D00041	42	55	FA 20:3;(OH)2
PMC3590212	R01014	58	93	FA 20:3;11OH,12OH
PMC3590212	D00037	188	223	FA 20:3;11OH,12OH
PMC5156423	R02003	87	96	FA 20:3;Ep
PMC4544761	D00030	77	86	FA 20:3;Ep
PMC6457987	D01005	80	89	FA 20:3;Ep
PMC6457987	D01003	84	93	FA 20:3;Ep
PMC4544761	R00022	134	143	FA 20:3;Ep
PMC6457987	D01013	150	159	FA 20:3;Ep
PMC4544761	D00032	24	33	FA 20:3;Ep
PMC4544761	D00031	14	23	FA 20:3;Ep
PMC4544761	D00031	85	94	FA 20:3;Ep
PMC4544761	M01003	225	234	FA 20:3;Ep
PMC5009176	R07016	24	36	FA 20:3;Ep
PMC6572825	D00021	13	25	FA 20:3;Ep
PMC5009176	D00038	41	53	FA 20:3;Ep
PMC3590212	D00041	109	121	FA 20:3;Ep
PMC5009176	R10005	24	36	FA 20:3;Ep
PMC6875220	R00038	153	181	FA 20:3(11,14,17)
PMC5156423	R01011	49	56	FA 20:5;OH
